battle_id,fighter1,fighter2,winner,loser,winner_hp,turns,total_damage_winner,total_damage_loser,total_misses,total_dodges,crits_winner,crits_loser,timestamp
1,Banana Brute,Reze,Banana Brute,Reze,880,24,1089,0,0,0,0,0,2026-06-26 13:44:48
1,Banana Brute,Reze,Reze,Banana Brute,477,13,1013,453,0,0,1,0,2026-06-26 13:52:28
1,Banana Brute,Reze,Reze,Banana Brute,156,16,912,774,0,0,0,0,2026-06-26 13:53:11
2,Mike Tyson,Reze,Reze,Mike Tyson,510,9,1380,420,0,0,0,0,2026-06-26 13:53:26
3,Reze,Monster Garou,Reze,Monster Garou,375,11,1111,555,0,0,1,0,2026-06-26 13:53:43
1,Reze,Monster Garou,Reze,Monster Garou,127,16,1127,763,0,0,0,0,2026-06-26 13:55:47
2,Reze,Monster Garou,Reze,Monster Garou,134,16,1150,756,1,1,0,0,2026-06-26 13:56:08
1,Reze,Monster Garou,Monster Garou,Reze,179,12,974,911,0,0,2,0,2026-06-26 13:59:57
1,Reze,Monster Garou,Monster Garou,Reze,85,15,944,1005,0,0,0,0,2026-06-26 14:00:42
1,Monster Garou,Reze,Reze,Monster Garou,13,16,1162,877,1,1,0,0,2026-06-26 14:03:00
2,Monster Garou,Reze,Reze,Monster Garou,128,15,1156,762,0,0,0,0,2026-06-26 14:03:21
1,Reze,Monster Garou,Reze,Monster Garou,90,16,1129,805,0,0,0,0,2026-06-26 14:05:06
2,Reze,Banana Brute,Banana Brute,Reze,673,20,934,607,0,0,0,0,2026-06-26 14:05:33
3,Banana Brute,Mike Tyson,Banana Brute,Mike Tyson,455,13,1202,825,0,0,0,0,2026-06-26 14:05:52
4,Banana Brute,Monster Garou,Banana Brute,Monster Garou,704,14,1358,576,1,1,1,2,2026-06-26 14:06:11
1,Banana Brute,Reze,Reze,Banana Brute,220,21,1317,755,0,0,1,0,2026-06-26 14:11:28
2,Banana Brute,Reze,Reze,Banana Brute,285,19,1305,690,0,0,3,0,2026-06-26 14:11:53
1,Reze,Banana Brute,Reze,Banana Brute,192,18,1297,783,0,0,1,0,2026-06-26 14:12:58
2,Banana Brute,Mike Tyson,Banana Brute,Mike Tyson,181,13,1200,1099,0,0,0,0,2026-06-26 14:13:17
3,Mike Tyson,Banana Brute,Banana Brute,Mike Tyson,92,17,1209,1188,2,2,0,0,2026-06-26 14:13:44
1,Banana Brute,Mike Tyson,Mike Tyson,Banana Brute,61,17,1292,1069,1,1,0,0,2026-06-26 14:14:48
2,Mike Tyson,Reze,Reze,Mike Tyson,124,11,1251,851,0,0,0,0,2026-06-26 14:15:05
3,Reze,Banana Brute,Reze,Banana Brute,47,23,1301,928,0,0,0,0,2026-06-26 14:15:35
1,Reze,Banana Brute,Reze,Banana Brute,266,23,1280,709,1,1,1,0,2026-06-26 14:16:45
2,Reze,Banana Brute,Banana Brute,Reze,95,24,1024,1185,1,1,0,0,2026-06-26 14:17:17
3,Mike Tyson,Reze,Reze,Mike Tyson,375,9,1159,600,0,0,0,0,2026-06-26 14:17:35
4,Mike Tyson,Reze,Reze,Mike Tyson,122,11,1248,853,0,0,1,0,2026-06-26 14:17:50
1,Mike Tyson,Reze,Mike Tyson,Reze,76,11,1029,1054,0,0,0,0,2026-06-26 14:18:52
2,Mike Tyson,Banana Brute,Banana Brute,Mike Tyson,585,12,1326,695,1,1,0,0,2026-06-26 14:19:09
1,Mike Tyson,Banana Brute,Mike Tyson,Banana Brute,344,11,1368,786,0,0,1,0,2026-06-26 14:20:03
2,Mike Tyson,Reze,Mike Tyson,Reze,69,11,1128,1061,0,0,0,0,2026-06-26 14:20:19
3,Mike Tyson,Reze,Reze,Mike Tyson,146,12,1228,829,0,0,0,0,2026-06-26 14:20:36
4,Reze,Banana Brute,Banana Brute,Reze,354,12,1113,926,0,0,1,0,2026-06-26 14:20:55
1,Mike Tyson,Monster Garou,Mike Tyson,Monster Garou,145,12,1210,985,2,2,0,0,2026-06-26 14:21:18
1,Mike Tyson,Monster Garou,Monster Garou,Mike Tyson,433,8,1312,657,0,0,2,0,2026-06-26 14:22:37
2,Mike Tyson,Monster Garou,Monster Garou,Mike Tyson,444,8,1150,646,0,0,1,0,2026-06-26 14:22:49
1,Monster Garou,Mike Tyson,Mike Tyson,Monster Garou,77,15,1222,1053,3,3,0,0,2026-06-26 14:23:56
